date,open,high,low,close,volume
2018-04-26,,,,5.7,0
2018-04-24,,,,5.7,0
2018-04-23,,,,5.7,0
2018-04-20,,,,5.7,0
2018-04-19,,,,5.7,0
2018-04-18,5.7,5.7,5.7,5.7,4000
2018-04-17,5.3,5.3,5.3,5.3,500
2018-04-16,5.2,5.5,5.2,5.5,9000
2018-04-13,,,,5.2,0
2018-04-12,,,,5.2,0
2018-04-11,5.2,5.2,5.2,5.2,300
2018-04-10,5.2,5.2,5.2,5.2,500
2018-04-09,5.2,5.2,5.2,5.2,400
2018-04-06,,,,5.0,0
2018-04-05,,,,5.0,0
2018-04-04,,,,5.0,0
2018-04-03,,,,5.0,0
2018-04-02,,,,5.0,0
2018-03-30,,,,5.0,0
2018-03-29,5.0,5.0,5.0,5.0,34
2018-03-28,5.0,5.0,5.0,5.0,100
2018-03-27,,,,4.8,0
2018-03-26,4.9,4.9,4.8,4.8,2000
2018-03-23,,,,4.9,0
2018-03-22,4.9,4.9,4.9,4.9,100
2018-03-21,,,,4.8,0
2018-03-20,,,,4.8,0
2018-03-19,,,,4.8,0
2018-03-16,5.0,5.1,4.6,4.8,7100
2018-03-15,,,,5.3,0
2018-03-14,,,,5.3,0
2018-03-13,,,,5.3,0
2018-03-12,,,,5.3,0
2018-03-09,,,,5.3,0
2018-03-08,,,,5.3,0
2018-03-07,,,,5.3,0
2018-03-06,5.3,5.3,5.3,5.3,800
2018-03-05,,,,5.2,0
2018-03-02,,,,5.2,0
2018-03-01,,,,5.2,0
2018-02-28,,,,5.2,0
2018-02-27,,,,5.2,0
2018-02-26,5.2,5.2,5.2,5.2,2600
2018-02-23,5.2,5.3,5.1,5.3,300
2018-02-22,,,,5.9,0
2018-02-21,,,,5.9,0
2018-02-13,5.9,5.9,5.9,5.9,200
2018-02-12,,,,6.5,0
2018-02-09,,,,6.5,0
2018-02-08,,,,6.5,0
2018-02-07,,,,6.5,0
2018-02-06,,,,6.5,0
2018-02-05,,,,6.5,0
2018-02-02,6.5,6.5,6.5,6.5,700
2018-02-01,6.5,6.5,6.5,6.5,200
2018-01-31,6.5,6.5,6.5,6.5,200
2018-01-30,,,,6.4,0
2018-01-29,6.4,6.4,6.4,6.4,1000
2018-01-26,,,,7.2,0
2018-01-25,,,,7.2,0
2018-01-22,,,,7.2,0
2018-01-19,,,,7.2,0
2018-01-18,,,,7.2,0
2018-01-17,7.2,7.2,7.2,7.2,400
2018-01-16,7.1,7.1,7.1,7.1,300
2018-01-15,7.0,7.0,7.0,7.0,100
2018-01-12,,,,7.1,0
2018-01-11,7.1,7.1,7.1,7.1,400
2018-01-10,,,,7.8,0
2018-01-09,8.0,8.0,7.8,7.8,2700
2018-01-08,,,,9.1,0
2018-01-05,,,,9.1,0
2018-01-04,9.1,9.1,9.1,9.1,200
2018-01-03,,,,10.5,0
2018-01-02,,,,10.5,0
2017-12-29,10.5,10.5,10.5,10.5,134
2017-12-28,12.0,12.0,12.0,12.0,100
2017-12-27,13.5,13.5,13.5,13.5,100
2017-12-26,15.3,15.3,15.3,15.3,100
2017-12-25,17.0,18.6,13.8,13.8,10820
2017-12-22,17.0,17.0,13.1,13.1,8400
2017-12-21,14.0,15.0,14.0,15.0,1000
2017-12-20,12.9,13.5,12.8,13.5,430
2017-12-19,15.0,15.0,15.0,15.0,100
2017-12-18,16.1,18.5,13.9,13.9,1100
2017-12-15,14.6,16.7,13.5,13.6,10000
2017-12-14,14.5,15.0,13.9,13.9,1600
2017-12-13,13.8,14.0,13.8,14.0,11400
2017-12-12,12.8,13.5,12.5,13.5,15700
2017-12-11,12.3,12.3,12.3,12.3,100
2017-12-08,13.2,14.0,13.2,14.0,300
