date,open,high,low,close,volume
2016-03-02,11.3,11.3,10.1,10.1,287620.0
2016-03-03,9.4,9.4,9.4,9.4,84630.0
2016-03-04,8.8,9.3,8.8,8.8,473110.0
2016-03-07,8.8,9.3,8.6,8.9,514860.0
2016-03-08,8.9,9.0,8.8,8.9,499550.0
2016-03-09,8.3,8.7,8.3,8.3,253220.0
2016-03-10,7.8,8.4,7.8,7.9,530580.0
2016-03-11,7.9,8.1,7.7,8.0,554630.0
2016-03-14,8.0,8.0,7.8,7.9,481700.0
2016-03-15,7.9,7.9,7.6,7.8,552220.0
2016-03-16,7.8,7.8,7.4,7.7,666140.0
2016-03-17,7.7,7.7,7.4,7.7,546180.0
2016-03-18,7.7,7.8,7.4,7.6,607070.0
2016-03-21,7.6,7.7,7.4,7.5,519320.0
2016-03-22,7.5,7.6,7.3,7.5,537990.0
2016-03-23,7.5,8.0,7.4,8.0,692310.0
2016-03-24,8.0,8.5,8.0,8.3,638530.0
2016-03-25,8.3,8.6,8.1,8.3,797720.0
2016-03-28,8.3,8.6,8.3,8.5,645470.0
2016-03-29,8.5,8.6,8.0,8.1,820140.0
2016-03-30,7.8,8.3,7.8,8.1,499870.0
2016-03-31,8.1,8.1,7.7,7.8,243280.0
2016-04-01,7.8,7.8,7.6,7.8,769820.0
2016-04-04,7.8,8.0,7.7,8.0,601660.0
2016-04-05,8.0,8.1,7.8,8.1,508470.0
2016-04-06,8.1,8.1,7.8,7.8,771970.0
2016-04-07,7.8,8.1,7.7,8.1,692000.0
2016-04-08,8.1,8.1,7.7,8.0,682080.0
2016-04-11,7.9,8.2,7.9,8.2,568930.0
2016-04-12,8.0,8.2,7.7,8.1,395230.0
2016-04-13,8.1,8.1,7.9,8.1,226720.0
2016-04-14,8.1,8.1,7.9,8.1,328200.0
2016-04-15,8.1,8.1,7.9,8.1,254690.0
2016-04-19,8.1,8.1,7.9,8.1,241930.0
2016-04-20,8.0,8.1,7.8,8.0,243590.0
2016-04-21,8.0,8.0,7.8,7.9,260810.0
2016-04-22,7.9,8.0,7.7,8.0,450890.0
2016-04-25,8.0,8.0,7.9,7.9,298350.0
2016-04-26,7.8,7.9,7.7,7.9,159900.0
2016-04-27,7.9,8.0,7.7,7.8,280490.0
2016-04-28,7.8,7.9,7.7,7.7,177700.0
2016-04-29,7.7,7.9,7.6,7.7,197590.0
2016-05-04,7.8,7.8,7.6,7.7,238060.0
2016-05-05,7.7,8.2,7.7,8.2,337580.0
2016-05-06,8.2,8.6,8.2,8.4,220340.0
2016-05-09,8.4,8.6,8.1,8.6,264960.0
2016-05-10,8.6,8.8,8.4,8.6,228900.0
2016-05-11,8.6,9.2,8.5,9.1,356830.0
2016-05-12,9.1,9.5,9.0,9.5,325230.0
2016-05-13,9.5,9.6,9.3,9.6,410840.0
2016-05-16,9.5,10.0,9.4,9.7,471960.0
2016-05-17,9.7,9.8,9.2,9.5,395610.0
2016-05-18,9.3,9.7,9.2,9.3,417420.0
2016-05-19,9.2,9.3,8.7,8.8,307930.0
2016-05-20,8.3,8.9,8.2,8.9,329180.0
2016-05-23,8.9,9.0,8.7,9.0,250560.0
2016-05-24,9.0,9.4,8.9,9.3,267460.0
2016-05-25,9.1,9.4,9.0,9.3,286490.0
2016-05-26,9.4,9.8,9.2,9.5,280440.0
2016-05-27,9.5,9.5,9.3,9.4,340240.0
2016-05-30,9.4,9.4,9.2,9.4,314000.0
2016-05-31,9.4,9.4,9.2,9.4,312420.0
2016-06-01,9.2,9.4,9.1,9.3,264410.0
2016-06-02,9.2,9.3,9.1,9.2,326820.0
2016-06-03,9.2,9.3,9.0,9.3,315170.0
2016-06-06,9.2,9.3,8.9,9.1,306470.0
2016-06-07,9.2,9.2,9.0,9.1,258130.0
2016-06-08,9.1,9.1,9.0,9.0,264980.0
2016-06-09,9.1,9.1,8.9,9.1,260500.0
2016-06-10,9.0,9.0,8.9,9.0,271780.0
2016-06-13,8.6,9.0,8.5,8.7,296270.0
2016-06-14,8.4,8.8,8.4,8.8,285520.0
2016-06-15,8.7,8.9,8.6,8.9,321420.0
2016-06-16,8.9,8.9,8.7,8.9,287100.0
2016-06-17,8.6,8.9,8.6,8.8,315270.0
2016-06-20,8.8,8.8,8.6,8.8,270530.0
2016-06-21,8.8,9.0,8.7,9.0,311730.0
2016-06-22,9.0,9.0,8.9,9.0,14140.0
2016-06-23,8.9,9.0,8.8,8.9,103590.0
2016-06-24,8.9,8.9,8.3,8.4,117130.0
2016-06-27,8.2,8.4,8.2,8.4,18500.0
2016-06-28,8.4,8.4,8.2,8.4,22050.0
2016-06-29,8.4,8.4,8.3,8.3,13910.0
2016-06-30,8.3,8.5,8.3,8.5,19700.0
2016-07-01,8.4,8.5,8.2,8.5,54990.0
2016-07-04,8.4,8.5,8.2,8.4,113330.0
2016-07-05,8.4,8.5,8.2,8.2,53800.0
2016-07-06,7.8,8.0,7.8,7.9,37840.0
2016-07-07,7.9,8.1,7.7,7.7,108630.0
2016-07-08,7.6,8.1,7.5,8.1,29320.0
2016-07-11,7.8,8.2,7.7,8.0,117890.0
2016-07-12,7.9,8.0,7.7,8.0,115550.0
2016-07-13,7.9,8.0,7.6,7.9,177230.0
2016-07-14,7.6,7.8,7.6,7.8,105350.0
2016-07-15,7.7,7.8,7.7,7.7,107330.0
2016-07-18,7.6,7.9,7.6,7.9,106050.0
2016-07-19,7.6,7.9,7.6,7.9,82560.0
2016-07-20,7.9,7.9,7.7,7.9,126990.0
2016-07-21,7.8,7.8,7.4,7.4,99850.0
2016-07-22,7.2,7.9,7.2,7.9,101550.0
2016-07-25,8.0,8.0,7.8,8.0,92960.0
2016-07-26,7.6,8.5,7.6,8.3,120900.0
2016-07-27,8.0,8.4,8.0,8.3,101580.0
2016-07-28,8.5,8.5,8.2,8.4,102310.0
2016-07-29,8.2,8.4,7.9,7.9,111960.0
2016-08-01,7.4,8.2,7.4,8.2,15200.0
2016-08-02,8.2,8.2,8.0,8.2,12880.0
2016-08-03,8.2,8.3,8.2,8.3,5600.0
2016-08-04,8.3,8.3,8.3,8.3,7240.0
2016-08-05,8.3,8.3,7.8,7.8,6800.0
2016-08-08,8.1,8.1,7.8,8.0,4760.0
2016-08-09,8.0,8.0,7.6,7.7,35560.0
2016-08-10,7.7,7.8,7.6,7.7,50600.0
2016-08-11,7.7,7.8,7.7,7.8,50500.0
2016-08-12,7.8,7.9,7.6,7.8,68300.0
2016-08-15,7.8,7.9,7.6,7.7,75100.0
2016-08-16,7.7,7.8,7.6,7.8,152200.0
2016-08-17,7.8,7.9,7.7,7.8,211910.0
2016-08-18,7.7,7.9,7.6,7.8,182460.0
2016-08-19,7.8,7.9,7.6,7.7,158900.0
2016-08-22,7.6,7.9,7.5,7.7,201800.0
2016-08-23,7.8,7.8,7.5,7.8,223500.0
2016-08-24,7.7,7.9,7.4,7.6,237300.0
2016-08-25,7.7,7.7,7.4,7.6,246870.0
2016-08-26,7.5,7.9,7.5,7.7,454400.0
2016-08-29,7.6,7.7,7.4,7.6,385400.0
2016-08-30,7.6,7.7,7.4,7.5,492620.0
2016-08-31,7.4,7.6,7.2,7.3,258600.0
2016-09-01,7.4,7.4,7.1,7.3,248260.0
2016-09-05,7.2,7.5,7.1,7.4,211600.0
2016-09-06,7.4,7.4,7.1,7.3,136800.0
2016-09-07,7.4,7.4,7.2,7.4,211200.0
2016-09-08,7.4,7.7,7.2,7.7,233650.0
2016-09-09,7.7,7.7,7.4,7.5,112900.0
2016-09-12,7.49,7.65,6.98,6.98,167900.0
2016-09-13,7.0,7.3,6.7,7.15,268390.0
2016-09-14,7.15,7.29,7.1,7.18,265500.0
2016-09-15,7.17,7.22,7.0,7.14,289630.0
2016-09-16,7.2,7.2,6.8,7.14,154600.0
2016-09-19,7.14,7.15,6.9,6.9,127680.0
2016-09-20,6.8,7.0,6.42,7.0,28910.0
2016-09-21,7.0,7.0,6.51,6.89,39500.0
2016-09-22,6.89,6.89,6.7,6.89,121410.0
2016-09-23,6.89,6.89,6.6,6.7,200750.0
2016-09-26,6.7,6.85,6.65,6.7,151230.0
2016-09-27,6.24,6.67,6.24,6.6,335890.0
2016-09-28,6.14,6.5,6.14,6.3,98730.0
2016-09-29,6.15,6.3,6.15,6.27,96400.0
2016-09-30,6.1,6.3,6.0,6.14,94850.0
2016-10-03,6.0,6.14,5.72,5.95,79860.0
2016-10-04,6.0,6.3,5.54,6.3,19320.0
2016-10-05,6.3,6.3,6.2,6.3,38270.0
2016-10-06,6.3,6.3,6.0,6.0,47420.0
