date,open,high,low,close,volume
2016-06-17,2.6,2.7,2.5,2.6,2025400
2016-06-16,2.7,2.8,2.5,2.8,7012800
2016-06-15,2.7,2.8,2.5,2.7,6062700
2016-06-14,2.7,2.8,2.5,2.7,3100400
2016-06-13,2.9,2.9,2.6,2.7,4267100
2016-06-10,2.8,2.9,2.7,2.8,1145100
2016-06-09,2.8,3.1,2.7,2.9,4283700
2016-06-08,2.8,3.2,2.6,3.0,1860900
2016-06-07,2.9,3.0,2.8,2.9,1315500
2016-06-06,3.2,3.2,2.9,2.9,1948800
2016-06-03,3.3,3.3,3.0,3.1,1045600
2016-06-02,3.1,3.4,2.9,3.3,2395700
2016-06-01,3.2,3.3,3.0,3.1,925500
2016-05-31,3.3,3.4,3.0,3.2,1382600
2016-05-30,3.3,3.5,3.0,3.2,2202100
2016-05-27,3.6,3.6,3.1,3.3,1637400
2016-05-26,3.6,3.8,3.4,3.7,337400
2016-05-25,3.6,4.1,3.2,3.5,3320800
2016-05-24,3.8,3.9,3.6,3.7,1868600
2016-05-23,4.4,4.4,3.8,3.9,1033700
2016-05-20,4.2,4.6,4.2,4.5,1104800
2016-05-19,3.6,4.1,3.5,4.1,996400
2016-05-18,3.7,4.1,3.5,3.5,949500
2016-05-17,4.0,4.3,3.7,3.7,801600
2016-05-16,5.0,5.0,4.2,4.2,1183200
2016-05-13,4.9,5.1,4.6,4.7,834400
2016-05-12,5.3,5.3,4.9,5.0,789000
2016-05-11,4.9,5.5,4.9,5.3,1260600
2016-05-10,5.1,5.1,4.7,5.0,1103700
2016-05-09,5.1,5.5,4.7,5.0,1025300
2016-05-06,5.7,5.7,5.1,5.1,951300
2016-05-05,5.7,6.1,5.6,5.6,1437900
2016-05-04,6.3,6.4,5.7,6.1,1358000
2016-04-29,5.7,6.6,5.7,6.1,802700
2016-04-28,6.0,6.2,5.9,5.9,1620600
2016-04-27,6.7,7.3,6.7,6.7,526500
2016-04-26,7.4,8.3,7.3,7.3,560000
2016-04-25,8.0,8.8,8.0,8.7,747000
2016-04-22,7.2,8.1,6.9,8.1,1151400
2016-04-21,6.7,7.4,6.4,7.4,657000
2016-04-20,5.9,7.3,5.9,7.3,488300
2016-04-19,7.2,7.2,6.3,6.6,462100
2016-04-15,6.6,14.7,6.3,14.7,114000
