date,open,high,low,close,volume
2016-06-29,18.0,18.0,13.6,13.7,50200.0
2016-06-30,13.7,14.6,13.0,14.6,14000.0
2016-07-01,14.6,15.6,14.6,15.6,10650.0
2016-07-04,16.3,16.3,14.6,14.6,14350.0
2016-07-05,14.0,14.6,13.6,13.6,19760.0
2016-07-06,13.0,13.5,12.7,12.7,23650.0
2016-07-07,12.0,13.0,11.9,13.0,4650.0
2016-07-08,12.7,13.2,12.2,12.5,1100.0
2016-07-11,11.8,13.1,11.8,12.1,1640.0
2016-07-12,12.6,12.9,12.6,12.9,16540.0
2016-07-13,13.4,13.7,13.4,13.7,13590.0
2016-07-14,13.8,13.8,13.7,13.8,10960.0
2016-07-15,13.8,14.0,13.8,14.0,5350.0
2016-07-18,14.0,14.1,13.9,14.0,9880.0
2016-07-19,14.0,14.1,14.0,14.1,19900.0
2016-07-20,14.0,14.1,13.3,14.0,9500.0
2016-07-21,14.0,14.0,13.2,13.2,4910.0
2016-07-22,13.0,13.0,13.0,13.0,4110.0
2016-07-25,13.0,13.8,13.0,13.7,6610.0
2016-07-26,13.3,14.0,13.3,13.7,31050.0
2016-07-27,13.7,13.9,13.7,13.9,3320.0
2016-07-28,13.7,14.1,13.7,14.1,28500.0
2016-07-29,13.7,14.0,13.7,13.9,18620.0
2016-08-01,13.8,13.8,13.8,13.8,1000.0
2016-08-02,13.8,14.0,13.0,14.0,11800.0
2016-08-03,14.0,14.0,14.0,14.0,0.0
2016-08-04,13.5,14.0,13.4,13.7,24100.0
2016-08-05,13.7,14.1,13.7,14.1,11530.0
2016-08-08,14.0,14.0,14.0,14.0,7000.0
2016-08-09,14.0,14.5,14.0,14.0,20190.0
2016-08-10,14.0,14.0,13.7,14.0,9500.0
2016-08-11,14.0,14.0,13.7,13.7,520.0
2016-08-12,13.7,13.9,13.7,13.9,4510.0
2016-08-15,13.9,13.9,13.9,13.9,1020.0
2016-08-16,13.9,13.9,13.7,13.9,2040.0
2016-08-17,13.9,13.9,13.7,13.9,5980.0
2016-08-18,13.9,13.9,13.9,13.9,2000.0
2016-08-19,13.8,14.6,13.8,14.6,39360.0
2016-08-22,14.2,14.4,14.2,14.4,110.0
2016-08-23,14.3,14.4,14.0,14.4,12060.0
2016-08-24,13.7,14.5,13.7,14.5,28410.0
2016-08-25,14.5,14.5,14.2,14.3,40170.0
2016-08-26,14.4,14.7,14.4,14.5,72400.0
2016-08-29,14.7,15.0,14.5,14.8,59390.0
2016-08-30,14.5,14.8,14.2,14.7,49980.0
2016-08-31,14.5,15.0,14.3,15.0,62120.0
2016-09-01,14.8,15.5,14.8,15.5,121450.0
2016-09-05,15.1,16.2,15.1,16.2,110020.0
2016-09-06,16.6,17.0,16.2,16.3,103380.0
2016-09-07,16.3,16.4,15.6,15.8,98350.0
2016-09-08,15.6,15.9,15.5,15.8,81460.0
2016-09-09,15.8,16.3,15.5,16.1,78960.0
2016-09-12,16.0,17.0,16.0,17.0,123220.0
2016-09-13,16.8,17.3,16.65,17.1,97110.0
2016-09-14,17.25,17.4,16.65,17.15,90800.0
2016-09-15,16.95,16.95,16.3,16.5,95190.0
2016-09-16,16.35,16.6,16.3,16.6,86950.0
2016-09-19,16.6,16.8,16.35,16.8,91620.0
2016-09-20,16.8,16.8,16.5,16.8,85110.0
2016-09-21,16.8,17.0,16.8,16.9,86800.0
2016-09-22,16.9,17.2,16.65,17.2,108320.0
2016-09-23,17.25,17.25,16.85,17.1,79730.0
2016-09-26,17.1,17.1,16.7,16.7,49970.0
2016-09-27,16.7,16.9,16.1,16.8,101520.0
2016-09-28,16.85,17.0,16.85,17.0,104170.0
2016-09-29,17.2,17.2,16.8,17.2,115660.0
2016-09-30,17.15,17.2,16.7,16.8,88400.0
2016-10-03,16.9,16.9,16.5,16.75,52340.0
2016-10-04,16.75,16.75,16.6,16.7,75780.0
2016-10-05,16.65,17.0,16.65,16.85,96730.0
2016-10-06,16.75,16.95,16.7,16.8,97520.0
2016-10-07,16.8,16.9,16.7,16.9,58320.0
2016-10-10,16.85,16.95,16.75,16.85,94760.0
2016-10-11,16.9,16.9,16.65,16.8,44580.0
2016-10-12,16.9,16.95,16.4,16.95,75810.0
2016-10-13,16.85,16.95,16.5,16.95,70280.0
2016-10-14,16.85,16.85,16.3,16.3,37340.0
2016-10-17,16.4,16.5,16.2,16.2,18770.0
2016-10-18,16.15,16.2,16.0,16.15,24310.0
2016-10-19,16.15,16.45,16.0,16.35,92100.0
2016-10-20,16.45,16.5,16.35,16.5,75590.0
2016-10-21,16.6,16.6,16.35,16.5,98350.0
2016-10-24,16.45,16.8,16.4,16.5,93630.0
2016-10-25,16.4,16.6,16.4,16.6,94260.0
2016-10-26,16.55,17.1,16.4,17.1,154530.0
2016-10-27,17.15,17.25,16.8,17.0,110630.0
2016-10-28,16.85,17.45,16.65,17.45,185940.0
2016-10-31,17.1,18.6,17.1,18.6,219600.0
2016-11-01,18.7,18.75,18.4,18.5,194070.0
2016-11-02,18.4,18.9,18.4,18.75,202860.0
2016-11-03,18.75,18.9,18.5,18.85,194060.0
2016-11-04,18.95,19.0,18.85,18.95,146470.0
2016-11-07,18.9,19.05,18.7,19.05,165470.0
2016-11-08,19.3,19.3,18.7,19.05,162620.0
2016-11-09,19.15,19.15,18.5,19.05,182130.0
2016-11-10,19.35,19.65,19.35,19.65,171940.0
2016-11-11,19.75,19.9,19.5,19.5,171390.0
2016-11-14,19.6,19.9,19.1,19.25,287010.0
2016-11-15,19.3,20.0,19.25,20.0,189730.0
2016-11-16,20.0,20.7,19.85,20.7,155730.0
2016-11-17,21.0,21.05,20.55,20.6,222610.0
2016-11-18,20.6,20.7,20.55,20.6,130110.0
2016-11-21,20.6,20.8,20.45,20.8,122630.0
2016-11-22,20.8,21.0,20.75,20.8,153160.0
2016-11-23,20.8,21.0,20.8,20.95,126710.0
2016-11-24,21.0,21.0,20.7,20.7,145490.0
2016-11-25,20.8,20.85,20.55,20.7,244680.0
2016-11-28,20.8,20.85,20.65,20.7,103770.0
2016-11-29,20.7,21.35,20.7,21.35,155340.0
2016-11-30,21.4,21.4,21.1,21.15,88430.0
2016-12-01,21.3,21.3,20.85,21.0,184600.0
2016-12-02,20.95,20.95,20.7,20.95,173950.0
2016-12-05,20.9,20.9,20.1,20.45,137220.0
2016-12-06,20.45,20.45,19.9,19.9,103650.0
2016-12-07,19.95,20.7,19.0,20.7,289180.0
2016-12-08,20.7,20.7,20.3,20.6,126560.0
2016-12-09,20.6,20.7,20.55,20.7,165900.0
2016-12-12,20.6,20.6,20.45,20.5,112840.0
2016-12-13,20.5,20.5,20.4,20.5,103620.0
2016-12-14,20.5,20.75,20.4,20.75,114000.0
2016-12-15,20.7,20.9,20.5,20.8,114320.0
2016-12-16,20.8,20.8,20.5,20.8,111420.0
2016-12-19,20.7,20.9,20.7,20.85,111280.0
2016-12-20,20.8,20.85,20.65,20.75,102540.0
2016-12-21,20.8,20.8,20.6,20.7,156020.0
2016-12-22,20.7,20.7,20.5,20.6,197660.0
2016-12-23,20.7,20.7,20.55,20.6,82650.0
2016-12-26,20.65,20.65,20.3,20.6,151670.0
2016-12-27,20.7,20.7,20.55,20.7,143240.0
2016-12-28,20.7,20.7,20.6,20.7,112870.0
2016-12-29,20.7,20.7,20.6,20.7,153040.0
2016-12-30,20.75,20.75,20.4,20.65,160760.0
2017-01-03,20.7,20.7,20.6,20.7,83860.0
2017-01-04,20.75,20.75,20.5,20.7,151210.0
2017-01-05,20.7,20.75,20.35,20.75,177170.0
2017-01-06,20.85,20.9,20.55,20.8,172290.0
2017-01-09,20.8,20.9,20.65,20.75,176370.0
2017-01-10,20.7,20.75,20.55,20.75,201260.0
2017-01-11,20.75,20.75,20.5,20.65,184350.0
2017-01-12,20.65,20.9,20.5,20.7,165400.0
2017-01-13,20.7,20.8,20.6,20.75,183920.0
2017-01-16,20.8,20.8,20.5,20.6,185800.0
2017-01-17,20.7,21.0,20.65,20.95,186180.0
2017-01-18,21.0,21.05,20.75,21.0,176170.0
2017-01-19,21.0,21.6,21.0,21.55,164900.0
2017-01-20,21.65,22.25,21.6,22.25,184080.0
2017-01-23,22.45,22.7,22.2,22.2,202250.0
2017-01-24,22.25,22.25,21.6,21.95,155770.0
2017-01-25,22.0,22.15,21.6,22.15,187840.0
2017-02-02,22.25,22.25,21.9,21.9,147940.0
2017-02-03,21.75,21.75,21.05,21.1,122250.0
2017-02-06,21.1,21.3,20.0,21.3,80680.0
2017-02-07,21.2,21.25,19.85,21.15,215290.0
2017-02-08,21.25,21.25,20.8,21.0,182240.0
2017-02-09,21.15,21.3,21.0,21.3,212900.0
2017-02-10,21.3,21.5,21.25,21.5,220870.0
2017-02-13,21.6,21.6,21.35,21.55,237590.0
2017-02-14,21.55,21.7,21.5,21.7,388650.0
2017-02-15,21.7,21.85,21.5,21.85,275750.0
2017-02-16,21.85,22.25,21.65,22.25,286130.0
2017-02-17,22.55,22.85,22.15,22.4,291900.0
2017-02-20,22.65,22.8,22.3,22.45,317690.0
2017-02-21,22.6,22.65,22.4,22.5,311490.0
2017-02-22,22.45,22.6,22.35,22.45,352900.0
2017-02-23,22.45,22.5,22.15,22.3,196900.0
2017-02-24,22.25,22.5,22.25,22.4,259560.0
2017-02-27,22.4,22.5,22.35,22.45,242880.0
2017-02-28,22.5,22.6,22.35,22.4,266420.0
2017-03-01,22.4,22.4,22.2,22.35,264710.0
2017-03-02,22.4,22.55,22.25,22.5,252220.0
2017-03-03,22.5,22.7,22.4,22.7,284950.0
2017-03-06,22.65,23.1,22.65,23.05,263030.0
2017-03-07,23.1,23.1,22.8,23.1,290980.0
2017-03-08,23.1,23.5,23.1,23.5,263900.0
2017-03-09,23.5,23.55,23.2,23.25,237960.0
2017-03-10,23.2,23.75,23.0,23.75,260680.0
2017-03-13,23.8,23.8,23.35,23.45,215130.0
2017-03-14,23.35,23.7,22.8,23.55,276740.0
2017-03-15,23.5,23.65,23.4,23.55,240660.0
2017-03-16,23.5,23.55,22.1,22.25,209900.0
2017-03-17,22.25,22.8,22.25,22.6,201630.0
2017-03-20,22.6,22.85,22.6,22.8,227770.0
2017-03-21,22.85,22.9,22.4,22.4,210740.0
2017-03-22,22.4,22.6,22.2,22.55,252590.0
2017-03-23,22.65,22.75,22.5,22.75,248590.0
2017-03-24,22.75,22.8,22.45,22.65,203870.0
2017-03-27,22.75,22.75,22.35,22.5,213200.0
2017-03-28,22.45,22.8,22.4,22.75,256530.0
2017-03-29,22.8,22.85,22.45,22.85,223840.0
2017-03-30,22.8,22.8,22.2,22.3,210110.0
2017-03-31,22.3,22.55,22.15,22.3,306810.0
2017-04-03,22.25,22.3,21.15,22.15,204680.0
2017-04-04,22.15,22.3,21.6,21.7,144110.0
2017-04-05,21.7,21.8,20.65,21.8,63750.0
2017-04-07,21.75,21.85,21.5,21.7,52360.0
2017-04-10,21.7,21.8,21.0,21.6,275830.0
2017-04-11,21.6,21.95,21.0,21.4,190720.0
2017-04-12,21.2,21.2,20.7,20.7,175890.0
2017-04-13,21.0,21.0,20.6,20.85,200280.0
2017-04-14,20.9,21.65,20.35,21.0,241410.0
2017-04-17,21.0,21.1,20.55,20.8,234190.0
2017-04-18,20.8,20.85,20.4,20.85,204980.0
2017-04-19,20.85,22.0,20.25,21.8,404210.0
2017-04-20,21.7,22.7,21.65,22.65,323570.0
2017-04-21,22.6,22.7,22.1,22.1,294780.0
2017-04-24,22.1,22.1,21.5,21.5,211070.0
2017-04-25,21.6,21.9,21.4,21.7,288240.0
2017-04-26,21.6,22.35,21.5,22.35,302330.0
2017-04-27,20.5,20.9,20.5,20.8,257130.0
2017-04-28,20.6,21.0,20.6,20.8,213750.0
2017-05-03,21.0,21.0,20.75,20.9,207410.0
2017-05-04,20.95,21.15,20.7,20.85,206460.0
2017-05-05,20.0,20.85,20.0,20.55,148770.0
2017-05-08,20.55,20.7,20.1,20.15,130090.0
2017-05-09,19.7,20.1,19.5,19.9,27110.0
2017-05-10,19.85,19.9,19.3,19.85,292810.0
2017-05-11,19.8,19.9,19.75,19.85,390490.0
2017-05-12,20.0,20.25,19.85,20.05,382360.0
2017-05-15,20.1,20.7,20.1,20.5,415190.0
2017-05-16,20.6,21.1,20.6,20.65,343000.0
2017-05-17,20.6,20.75,20.1,20.25,248950.0
2017-05-18,20.25,20.55,19.85,19.9,263380.0
2017-05-19,19.85,20.2,19.75,20.1,310290.0
2017-05-22,20.1,20.2,19.9,20.0,298340.0
2017-05-23,20.0,20.05,19.5,19.95,298610.0
2017-05-24,19.95,19.95,19.7,19.8,258860.0
2017-05-25,19.75,20.0,19.7,19.95,338410.0
2017-05-26,19.95,20.0,19.5,19.5,266540.0
2017-05-29,19.5,19.75,19.4,19.55,302900.0
2017-05-30,19.55,19.95,19.3,19.5,229970.0
2017-05-31,19.55,19.75,19.0,19.0,202560.0
2017-06-01,19.0,19.25,18.75,18.8,266320.0
2017-06-02,18.8,18.85,18.45,18.75,234220.0
2017-06-05,18.75,19.1,18.6,18.85,281360.0
2017-06-06,18.85,19.1,18.65,18.85,307610.0
2017-06-07,18.9,19.05,18.8,19.0,320580.0
2017-06-08,19.0,19.35,19.0,19.35,388370.0
2017-06-09,19.3,19.5,19.15,19.4,360120.0
2017-06-12,19.4,19.4,18.95,19.25,342480.0
2017-06-13,19.25,19.5,18.75,19.4,302000.0
2017-06-14,19.4,19.5,19.25,19.5,316930.0
2017-06-15,19.45,19.5,19.25,19.5,270690.0
2017-06-16,19.45,19.5,19.3,19.4,295150.0
2017-06-19,19.4,19.55,19.35,19.45,343420.0
2017-06-20,19.4,19.45,19.3,19.45,261660.0
2017-06-21,19.45,20.05,19.45,20.0,362300.0
2017-06-22,20.0,20.35,19.8,20.1,262670.0
2017-06-23,20.1,20.2,19.8,19.95,274710.0
2017-06-26,19.85,19.95,19.65,19.8,258240.0
2017-06-27,19.8,19.8,19.45,19.5,173610.0
2017-06-28,19.5,19.75,19.5,19.65,135610.0
2017-06-29,19.65,19.75,19.45,19.6,165520.0
2017-06-30,19.6,19.6,19.3,19.5,45570.0
2017-07-03,19.5,19.55,18.65,19.3,4090.0
2017-07-04,19.3,19.75,19.3,19.6,208770.0
2017-07-05,19.6,19.6,19.15,19.4,157580.0
2017-07-06,19.45,19.5,18.7,19.05,160790.0
2017-07-07,19.05,19.35,19.0,19.3,192890.0
2017-07-10,19.25,19.4,19.05,19.3,147400.0
2017-07-11,19.2,19.2,18.65,19.0,152850.0
2017-07-12,18.95,19.0,18.25,18.25,167460.0
2017-07-13,18.25,18.95,18.25,18.95,282020.0
2017-07-14,18.9,20.25,18.9,19.55,221750.0
2017-07-17,19.5,19.7,19.4,19.6,162900.0
2017-07-18,19.45,19.65,19.3,19.65,189400.0
