date,open,high,low,close,volume
2015-08-19,18.0,18.0,18.0,18.0,6460.0
2015-08-20,19.2,19.2,19.2,19.2,10.0
2015-08-21,20.5,20.5,20.5,20.5,10.0
2015-08-24,21.9,21.9,21.9,21.9,10.0
2015-08-25,23.4,23.4,21.9,21.9,1720.0
2015-08-26,22.0,22.0,20.4,22.0,360.0
2015-08-27,22.0,22.0,22.0,22.0,10.0
2015-08-28,22.9,22.9,22.9,22.9,10.0
2015-08-31,21.3,23.4,21.3,23.0,80.0
2015-09-01,21.5,22.1,21.4,22.1,1240.0
2015-09-03,20.7,22.9,20.6,22.9,230.0
2015-09-04,22.9,22.9,22.9,22.9,0.0
2015-09-07,21.3,22.0,21.3,22.0,110.0
2015-09-08,21.8,21.9,21.6,21.9,310.0
2015-09-09,20.5,20.5,20.4,20.4,150.0
2015-09-10,19.7,19.7,19.0,19.0,380.0
2015-09-11,19.0,20.3,17.7,17.7,3330.0
2015-09-14,16.5,18.9,16.5,16.5,3850.0
2015-09-15,15.5,17.6,15.4,15.7,1670.0
2015-09-16,16.7,16.7,14.7,14.8,10730.0
2015-09-17,14.3,15.8,14.3,15.8,1450.0
2015-09-18,16.8,16.9,16.8,16.8,3800.0
2015-09-21,16.5,16.5,15.7,16.3,1380.0
2015-09-22,16.4,16.5,15.5,16.4,4150.0
2015-09-23,16.7,16.7,16.7,16.7,20.0
2015-09-24,16.7,16.7,16.7,16.7,0.0
2015-09-25,15.8,15.8,15.8,15.8,220.0
2015-09-28,16.0,16.0,15.8,15.8,2180.0
2015-09-29,15.7,16.1,15.7,16.1,1050.0
2015-09-30,15.8,16.1,15.8,16.1,340.0
2015-10-01,15.5,16.0,15.5,15.5,70.0
2015-10-02,15.6,16.4,15.6,16.4,20.0
2015-10-05,16.4,16.4,16.4,16.4,0.0
2015-10-06,16.5,16.5,16.5,16.5,400.0
2015-10-07,17.2,17.2,17.2,17.2,20.0
2015-10-08,17.5,17.5,17.5,17.5,10.0
2015-10-09,16.3,18.0,16.3,18.0,1130.0
2015-10-12,16.8,18.5,16.8,18.5,30.0
2015-10-13,18.7,18.7,18.7,18.7,200.0
2015-10-14,18.7,18.7,18.7,18.7,0.0
2015-10-15,19.0,19.0,19.0,19.0,10.0
2015-10-16,17.7,17.7,17.7,17.7,170.0
2015-10-19,16.5,17.7,16.5,17.5,870.0
2015-10-20,17.5,17.5,17.5,17.5,0.0
2015-10-21,17.5,17.5,17.5,17.5,0.0
2015-10-22,18.2,18.2,16.4,16.5,4060.0
2015-10-23,16.5,16.5,16.5,16.5,0.0
2015-10-26,17.5,17.6,17.5,17.6,60.0
2015-10-27,17.6,17.6,17.6,17.6,0.0
2015-10-28,17.6,17.6,17.6,17.6,0.0
2015-10-29,17.6,17.6,17.6,17.6,0.0
2015-10-30,17.6,17.6,17.6,17.6,1000.0
2015-11-02,17.6,17.6,17.6,17.6,0.0
2015-11-03,17.6,17.6,17.6,17.6,0.0
2015-11-04,16.4,17.1,16.4,17.1,20.0
2015-11-05,16.0,16.0,16.0,16.0,30.0
2015-11-06,15.9,17.0,15.9,17.0,100.0
2015-11-09,15.9,17.2,15.9,16.0,30.0
2015-11-10,15.9,17.0,15.9,17.0,30.0
2015-11-11,16.0,17.0,16.0,17.0,20.0
2015-11-12,17.0,17.0,17.0,17.0,10.0
2015-11-13,16.0,16.9,16.0,16.1,200.0
2015-11-16,17.0,17.2,15.9,15.9,1080.0
2015-11-17,16.9,17.0,16.9,17.0,30.0
2015-11-18,17.0,17.1,16.9,17.1,180.0
2015-11-19,17.1,17.2,17.1,17.2,30.0
2015-11-20,17.2,17.5,17.2,17.5,310.0
2015-11-23,17.8,17.8,17.8,17.8,10.0
2015-11-24,17.5,17.5,17.5,17.5,10.0
2015-11-25,17.5,17.5,17.5,17.5,0.0
2015-11-26,16.5,16.5,16.5,16.5,200.0
2015-11-27,17.6,17.6,16.5,17.3,620.0
2015-11-30,16.3,17.3,16.3,16.3,40.0
2015-12-01,17.1,17.1,17.1,17.1,10.0
2015-12-02,17.7,17.7,17.7,17.7,10.0
2015-12-03,17.7,17.7,17.7,17.7,0.0
2015-12-04,16.6,18.9,16.6,18.4,90.0
2015-12-07,19.2,19.2,17.2,17.2,1160.0
2015-12-08,17.2,17.2,17.2,17.2,0.0
2015-12-09,16.2,17.4,16.2,17.4,1680.0
2015-12-10,17.0,17.0,17.0,17.0,1680.0
2015-12-11,17.0,17.4,17.0,17.4,510.0
2015-12-14,18.4,18.4,18.4,18.4,10.0
2015-12-15,18.7,18.7,17.2,18.3,70.0
2015-12-16,17.1,18.0,17.1,18.0,20.0
2015-12-17,19.2,19.2,17.1,18.9,40.0
2015-12-18,20.0,20.0,20.0,20.0,10.0
2015-12-21,20.0,20.0,20.0,20.0,0.0
2015-12-22,18.6,18.6,18.6,18.6,10.0
2015-12-23,18.6,18.6,18.6,18.6,0.0
2015-12-24,18.6,18.6,18.6,18.6,0.0
2015-12-25,17.3,17.3,17.3,17.3,10.0
2015-12-28,17.8,17.8,17.0,17.0,220.0
2015-12-29,18.1,18.1,18.1,18.1,10.0
2015-12-30,16.9,16.9,16.9,16.9,10.0
2015-12-31,18.0,18.0,18.0,18.0,10.0
2016-01-04,18.2,18.2,18.2,18.2,10.0
2016-01-05,17.2,17.9,17.2,17.9,30.0
2016-01-06,17.9,17.9,17.9,17.9,0.0
2016-01-07,18.3,18.3,16.9,16.9,20.0
2016-01-08,18.0,18.0,18.0,18.0,110.0
2016-01-11,17.1,17.1,17.1,17.1,190.0
2016-01-12,17.1,17.1,17.1,17.1,0.0
2016-01-13,17.0,17.0,17.0,17.0,50.0
2016-01-14,17.0,17.0,17.0,17.0,0.0
2016-01-15,18.0,18.0,18.0,18.0,20.0
2016-01-18,17.0,17.0,17.0,17.0,970.0
2016-01-19,18.0,18.0,18.0,18.0,10.0
