date,open,high,low,close,volume
2019-05-15,22.5,22.6,18.3,18.5,132510
2019-05-16,17.7,18.5,17.7,18.0,51430
2019-05-17,18.0,18.2,17.9,18.2,24170
2019-05-20,17.9,18.1,17.7,18.0,34080
2019-05-21,18.0,19.25,17.9,18.5,88000
2019-05-22,19.0,19.75,19.0,19.75,114490
2019-05-23,20.5,21.1,20.0,21.1,109190
2019-05-24,22.55,22.55,21.1,21.4,163430
2019-05-27,20.1,21.1,20.0,20.8,83990
2019-05-28,20.6,20.8,19.6,20.1,63270
2019-05-29,20.0,20.0,18.75,18.9,50160
2019-05-30,18.5,19.9,18.5,19.9,54800
2019-05-31,19.9,19.9,18.8,18.8,36060
2019-06-03,18.3,18.8,18.3,18.6,24310
2019-06-04,18.6,19.0,18.4,19.0,16440
2019-06-05,19.5,19.5,18.85,19.0,8380
2019-06-06,18.6,18.95,18.5,18.5,24600
2019-06-07,19.1,19.2,18.1,18.3,21380
2019-06-10,18.35,19.0,18.3,18.3,27410
2019-06-11,18.5,18.5,18.3,18.4,10810
2019-06-12,18.4,18.4,18.15,18.2,17460
2019-06-13,18.05,18.5,18.05,18.5,15490
2019-06-14,18.3,18.5,18.1,18.1,18980
2019-06-17,18.15,18.2,18.0,18.1,17370
2019-06-18,17.9,18.25,17.85,17.9,15580
2019-06-19,17.9,18.2,17.9,17.9,11380
2019-06-20,17.8,18.0,17.7,17.8,17360
2019-06-21,18.2,18.2,17.8,18.0,2780
2019-06-24,18.0,18.0,17.9,18.0,1850
2019-06-25,18.0,18.05,17.9,17.95,8760
2019-06-26,17.8,18.0,17.8,17.8,8020
2019-06-27,18.0,18.0,17.8,18.0,13540
2019-06-28,17.6,17.95,17.6,17.9,6120
2019-07-01,17.9,17.9,17.7,17.7,10130
2019-07-02,17.8,17.8,17.5,17.8,12440
2019-07-03,17.65,19.0,17.65,19.0,68320
2019-07-04,17.65,19.9,18.5,19.0,11010
2019-07-05,18.9,19.5,18.5,19.35,16280
2019-07-08,19.3,19.3,18.55,18.65,11300
2019-07-09,18.85,18.85,18.2,18.65,9050
2019-07-10,18.7,18.7,18.3,18.3,10610
